SECTOR,SHELF,REEF_NAME,REEF_ID,LATITUDE,LONGITUDE,P_CODE,VISIT_NO,YEAR_CODE,REPORT_YEAR,SAMPLE_DATE,MEDIAN_LIVE_CORAL,MEDIAN_SOFT_CORAL,MEDIAN_DEAD_CORAL,MEAN_LIVE_CORAL,MEAN_SOFT_CORAL,MEAN_DEAD_CORAL,TOTAL_COTS,MEAN_COTS_PER_TOW,TOTAL_TROUT,MEAN_TROUT_PER_TOW,TOWS
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RM,1,199293,1993,11/06/1993,2,,1,25.758,,2.576,0,0,,,33
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RM,4,199596,1996,15/01/1996,3L,,1L,29.569,,1.81,0,0,,,29
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RM,5,199697,1997,29/01/1997,2U,,1L,30.043,,1.983,0,0,,,29
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RM,6,199798,1998,1/02/1998,3L,2L,1L,37.419,16.532,2.177,3,0.097,,,31
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RM,7,199899,1999,25/01/1999,2L,2L,1L,23.879,16.94,2.672,6,0.207,,,29
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RM,8,199900,2000,28/01/2000,1U,2L,1L,12.857,13.839,2.054,0,0,,,28
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RM,10,200102,2002,20/09/2001,1U,1U,0,12.069,12.931,0.603,0,0,,,29
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RM,12,200304,2004,13/01/2004,2L,2L,1L,16.25,16.25,2,0,0,,,30
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RAP,14,200506,2006,24/11/2005,2U,2L,0,20.75,19.25,1.083,0,0,4,0.133333333,30
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RM,15,200607,2007,13/01/2007,2U,2L,0,24.5,16.3,0.6,0,0,2,0.08,25
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RAP,16,200708,2008,28/08/2007,2U,2U,1L,26.641,22.188,1.953,0,0,1,0.03125,32
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RAP,18,200910,2010,19/11/2009,3L,1U,1L,37.93,15.117,2.031,0,0,0,0,32
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RM,25,201617,2017,17/12/2016,3L,1U,1L,44.861,16.944,3.148,0,0,2,0.074074074,27
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RM,27,201819,2019,29/11/2018,2U,1L,0,26.935,3.306,1.129,0,0,5,0.161290323,31
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RAP,28,201920,2020,11/02/2020,2L,1L,0,16.204,4.63,0.741,0,0,16,0.592592593,27
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RM,29,202021,2021,13/01/2021,2L,1U,0,21.797,8.125,0.625,0,0,5,0.15625,32
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,1,199293,1993,4/09/1992,1,,0,9.063,,1.354,0,0,,,48
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,2,199394,1994,16/02/1994,1L,,0,6.419,,0.811,1,0.027,,,37
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,3,199495,1995,18/04/1995,1U,,0,9.057,,0.943,1,0.019,,,53
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,4,199596,1996,25/01/1996,1U,,1L,16.223,,1.489,1,0.021,,,47
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,5,199697,1997,19/01/1997,1U,,0,9.202,,1.011,0,0,,,47
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,6,199798,1998,2/02/1998,1L,1U,1L,4.439,10.867,3.878,5,0.102,,,49
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,7,199899,1999,2/02/1999,1L,1U,1L,5.185,11.806,1.898,1,0.019,,,54
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,10,200102,2002,24/09/2001,1L,1L,0,4.415,8.511,0.16,0,0,,,47
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,11,200203,2003,24/10/2002,1L,1L,0,3.056,7,0.722,0,0,,,45
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,12,200304,2004,14/01/2004,1L,1U,0,5.357,9.235,1.071,0,0,,,49
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,13,200405,2005,1/02/2005,1L,1U,0,4.423,9.231,0.673,0,0,,,52
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RAP,14,200506,2006,25/11/2005,1U,1U,0,7.745,9.657,1.029,0,0,11,0.215686275,51
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,15,200607,2007,4/01/2007,1L,1U,0,6.5,10.95,0.75,0,0,14,0.28,50
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RAP,18,200910,2010,25/11/2009,1U,1U,0,10.58,12.277,1.027,0,0,14,0.25,56
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RAP,20,201112,2012,3/03/2012,1U,1U,1L,9.898,12.577,1.786,1,0.02,12,0.244897959,49
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,21,201213,2013,15/01/2013,1L,1U,1L,8.393,14.04,1.696,32,0.571,8,0.142857143,56
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,23,201415,2015,8/03/2015,1L,1U,0,6.705,12.472,0.511,1,0.023,3,0.068181818,44
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,25,201617,2017,8/09/2016,1U,1U,1L,14.942,12.936,1.453,0,0,24,0.558139535,43
