NRM_REGION,CATCHMENT,MMP_SITE_NAME,DEPTH,SITE_NO,LATITUDE,LONGITUDE,P_CODE,VISIT_NO,YEAR_CODE,SAMPLE_DATE,GROUP_CODE,COVER
Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,1,2005,23/08/2005,Algae,75.75
Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,1,2005,23/08/2005,Hard Coral,11.25
Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,1,2005,23/08/2005,Other,11.25
Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,1,2005,23/08/2005,Soft Coral,1.75
Burdekin,Burdekin,Havannah,2,2,-18.846367,146.540683,IN,1,2005,23/08/2005,Algae,76.63
Burdekin,Burdekin,Havannah,2,2,-18.846367,146.540683,IN,1,2005,23/08/2005,Hard Coral,13.88
Burdekin,Burdekin,Havannah,2,2,-18.846367,146.540683,IN,1,2005,23/08/2005,Other,7.88
Burdekin,Burdekin,Havannah,2,2,-18.846367,146.540683,IN,1,2005,23/08/2005,Soft Coral,1.63
Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,2,2006,24/08/2006,Algae,78.83
Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,2,2006,24/08/2006,Hard Coral,14.18
Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,2,2006,24/08/2006,Other,4.37
Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,2,2006,24/08/2006,Soft Coral,2.62
Burdekin,Burdekin,Havannah,2,2,-18.846367,146.540683,IN,2,2006,24/08/2006,Algae,71.7
Burdekin,Burdekin,Havannah,2,2,-18.846367,146.540683,IN,2,2006,24/08/2006,Hard Coral,17.15
Burdekin,Burdekin,Havannah,2,2,-18.846367,146.540683,IN,2,2006,24/08/2006,Other,8.38
Burdekin,Burdekin,Havannah,2,2,-18.846367,146.540683,IN,2,2006,24/08/2006,Soft Coral,2.76
Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,3,2007,3/07/2007,Algae,66.85
Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,3,2007,3/07/2007,Hard Coral,17.76
Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,3,2007,3/07/2007,Other,13.39
Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,3,2007,3/07/2007,Soft Coral,2
Burdekin,Burdekin,Havannah,2,2,-18.846367,146.540683,IN,3,2007,3/07/2007,Algae,73.85
Burdekin,Burdekin,Havannah,2,2,-18.846367,146.540683,IN,3,2007,3/07/2007,Hard Coral,16.14
Burdekin,Burdekin,Havannah,2,2,-18.846367,146.540683,IN,3,2007,3/07/2007,Other,5
Burdekin,Burdekin,Havannah,2,2,-18.846367,146.540683,IN,3,2007,3/07/2007,Soft Coral,5
Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,5,2009,19/06/2009,Algae,66.38
Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,5,2009,19/06/2009,Hard Coral,20.5
Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,5,2009,19/06/2009,Other,10.88
