"belief_benef_low","belief_benef_high","max_invest","value_AM_infty","policy"
0,0,0,7.36,"1-1"
0,0.02,0,7.360006,"1-1"
0,0.04,0,7.360012,"1-1"
0,0.06,0,7.360018,"1-1"
0,0.08,0,7.360024,"1-1"
0,0.1,0,7.364205,"1-2"
0,0.12,0,7.37037544,"1-2"
0,0.14,0,7.3765458,"1-2"
0,0.16,1,7.3827252,"1-2"
0,0.18,5,7.38924112,"1-2"
0,0.2,9,7.3970308,"1-2"
0,0.22,11,7.404824,"1-2"
0,0.24,13,7.412614,"1-2"
0,0.26,15,7.4204022,"1-2"
0,0.28,16,7.42819376,"1-2"
0,0.3,17,7.4359924,"1-2"
0,0.32,18,7.44380896,"1-2"
0,0.34,19,7.45193796,"1-2"
0,0.36,20,7.46019584,"1-2"
0,0.38,21,7.46845372,"1-2"
0,0.4,22,7.4767124,"1-2"
0,0.42,23,7.48497032,"1-2"
0,0.44,23,7.49322824,"1-2"
0,0.46,24,7.5014844,"1-2"
0,0.48,24,7.50974288,"1-2"
0,0.5,25,7.518013,"1-2"
0,0.52,26,7.52628376,"1-2"
0,0.54,26,7.53468,"1-2"
0,0.56,27,7.543094,"1-2"
0,0.58,27,7.551508,"1-2"
0,0.6,27,7.5599224,"1-2"
0,0.62,28,7.56833648,"1-2"
0,0.64,28,7.57675056,"1-2"
0,0.66,29,7.58516464,"1-2"
0,0.68,29,7.59357816,"1-2"
0,0.7,29,7.6019984,"1-2"
0,0.72,30,7.61044312,"1-2"
0,0.74,30,7.61891212,"1-2"
0,0.76,30,7.62739248,"1-2"
0,0.78,31,7.63586788,"1-2"
0,0.8,31,7.6443428,"1-2"
0,0.82,31,7.65281636,"1-2"
0,0.84,31,7.66129232,"1-2"
0,0.86,32,7.66978196,"1-2"
0,0.88,32,7.67828272,"1-2"
0,0.9,32,7.6867908,"1-2"
0,0.92,33,7.69529104,"1-2"
0,0.94,33,7.70380324,"1-2"
0,0.96,33,7.7123176,"1-2"
0,0.98,33,7.72084152,"1-2"
0,1,33,7.72936,"1-2"
0.02,0,0,7.360006,"1-1"
0.02,0.02,0,7.360011164,"1-1"
0.02,0.04,0,7.360016328,"1-1"
0.02,0.06,0,7.360021492,"1-1"
0.02,0.08,0,7.360026656,"1-1"
0.02,0.1,0,7.364222284,"1-2"
0.02,0.12,0,7.3703933968,"1-2"
0.02,0.14,0,7.3765643896,"1-2"
0.02,0.16,1,7.3827445696,"1-2"
0.02,0.18,5,7.3892686832,"1-2"
0.02,0.2,9,7.397058,"1-2"
0.02,0.22,11,7.4048482968,"1-2"
0.02,0.24,13,7.4126389472,"1-2"
0.02,0.26,15,7.4204303528,"1-2"
0.02,0.28,16,7.4282223984,"1-2"
0.02,0.3,17,7.436019732,"1-2"
0.02,0.32,18,7.4438391472,"1-2"
0.02,0.34,19,7.451967724,"1-2"
0.02,0.36,20,7.460227376,"1-2"
0.02,0.38,21,7.468485908,"1-2"
0.02,0.4,22,7.4767454,"1-2"
0.02,0.42,23,7.485004412,"1-2"
0.02,0.44,23,7.493263424,"1-2"
0.02,0.46,24,7.501521636,"1-2"
0.02,0.48,24,7.509780888,"1-2"
0.02,0.5,25,7.51804646,"1-2"
0.02,0.52,26,7.5263188112,"1-2"
0.02,0.54,26,7.5347196744,"1-2"
0.02,0.56,27,7.5431351216,"1-2"
0.02,0.58,27,7.5515499288,"1-2"
0.02,0.6,27,7.559963136,"1-2"
0.02,0.62,28,7.5683795432,"1-2"
0.02,0.64,28,7.5767943504,"1-2"
0.02,0.66,29,7.5852091576,"1-2"
0.02,0.68,29,7.5936220976,"1-2"
0.02,0.7,29,7.602041956,"1-2"
0.02,0.72,30,7.610486288,"1-2"
0.02,0.74,30,7.6189615192,"1-2"
0.02,0.76,30,7.6274371408,"1-2"
0.02,0.78,31,7.6359130472,"1-2"
0.02,0.8,31,7.644389024,"1-2"
0.02,0.82,31,7.6528643256,"1-2"
0.02,0.84,31,7.6613418672,"1-2"
0.02,0.86,32,7.6698348992,"1-2"
0.02,0.88,32,7.6783363328,"1-2"
0.02,0.9,32,7.686840544,"1-2"
0.02,0.92,33,7.6953443552,"1-2"
0.02,0.94,33,7.703856108,"1-2"
0.02,0.96,33,7.7123723152,"1-2"
0.02,0.98,33,7.72089348,"1-2"
0.02,1,33,7.72941664,"1-2"
0.04,0,0,7.360012,"1-1"
0.04,0.02,0,7.360016328,"1-1"
0.04,0.04,0,7.360020656,"1-1"
0.04,0.06,0,7.360024984,"1-1"
0.04,0.08,0,7.360029312,"1-1"
0.04,0.1,0,7.364237968,"1-2"
0.04,0.12,0,7.3704096736,"1-2"
0.04,0.14,0,7.3765815392,"1-2"
0.04,0.16,1,7.382761648,"1-2"
0.04,0.18,5,7.3892894784,"1-2"
0.04,0.2,9,7.397082736,"1-2"
0.04,0.22,11,7.4048721536,"1-2"
0.04,0.24,13,7.4126634912,"1-2"
0.04,0.26,15,7.4204556048,"1-2"
0.04,0.28,16,7.4282482368,"1-2"
0.04,0.3,17,7.436045216,"1-2"
0.04,0.32,18,7.44386616,"1-2"
0.04,0.34,19,7.451996608,"1-2"
0.04,0.36,20,7.460256272,"1-2"
0.04,0.38,21,7.468516416,"1-2"
0.04,0.4,22,7.476776,"1-2"
0.04,0.42,23,7.485035584,"1-2"
0.04,0.44,23,7.493295168,"1-2"
0.04,0.46,24,7.501554592,"1-2"
0.04,0.48,24,7.509813936,"1-2"
0.04,0.5,25,7.51808088,"1-2"
0.04,0.52,26,7.5263531424,"1-2"
0.04,0.54,26,7.5347544288,"1-2"
0.04,0.56,27,7.5431704032,"1-2"
0.04,0.58,27,7.5515857376,"1-2"
0.04,0.6,27,7.559999472,"1-2"
0.04,0.62,28,7.5684164064,"1-2"
0.04,0.64,28,7.5768317408,"1-2"
0.04,0.66,29,7.5852445152,"1-2"
0.04,0.68,29,7.5936624896,"1-2"
0.04,0.7,29,7.602080912,"1-2"
0.04,0.72,30,7.610525776,"1-2"
0.04,0.74,30,7.6190011184,"1-2"
0.04,0.76,30,7.6274775616,"1-2"
0.04,0.78,31,7.6359540048,"1-2"
0.04,0.8,31,7.644430448,"1-2"
0.04,0.82,31,7.6529068912,"1-2"
0.04,0.84,31,7.6613839744,"1-2"
0.04,0.86,32,7.6698767632,"1-2"
0.04,0.88,32,7.6783797664,"1-2"
0.04,0.9,32,7.686884088,"1-2"
0.04,0.92,33,7.6953889248,"1-2"
0.04,0.94,33,7.703900896,"1-2"
0.04,0.96,33,7.7124175904,"1-2"
0.04,0.98,33,7.72093924,"1-2"
0.04,1,33,7.72946328,"1-2"
0.06,0,0,7.360018,"1-1"
0.06,0.02,0,7.360021492,"1-1"
0.06,0.04,0,7.360024984,"1-1"
0.06,0.06,0,7.360028476,"1-1"
0.06,0.08,0,7.360031968,"1-1"
0.06,0.1,0,7.364253652,"1-2"
0.06,0.12,0,7.3704259504,"1-2"
0.06,0.14,0,7.3765985688,"1-2"
0.06,0.16,1,7.382781952,"1-2"
0.06,0.18,5,7.3893133912,"1-2"
0.06,0.2,9,7.397105904,"1-2"
0.06,0.22,11,7.4048960104,"1-2"
0.06,0.24,13,7.412688448,"1-2"
0.06,0.26,15,7.4204807872,"1-2"
0.06,0.28,16,7.4282738352,"1-2"
0.06,0.3,17,7.436073196,"1-2"
0.06,0.32,18,7.4438931216,"1-2"
0.06,0.34,19,7.452025496,"1-2"
0.06,0.36,20,7.460286288,"1-2"
0.06,0.38,21,7.468546444,"1-2"
0.06,0.4,22,7.4768066,"1-2"
0.06,0.42,23,7.485066756,"1-2"
0.06,0.44,23,7.493326912,"1-2"
0.06,0.46,24,7.501586908,"1-2"
0.06,0.48,24,7.509846824,"1-2"
0.06,0.5,25,7.51811432,"1-2"
0.06,0.52,26,7.5263871536,"1-2"
0.06,0.54,26,7.5347890232,"1-2"
0.06,0.56,27,7.5432056848,"1-2"
0.06,0.58,27,7.5516215464,"1-2"
0.06,0.6,27,7.560037408,"1-2"
0.06,0.62,28,7.5684532696,"1-2"
0.06,0.64,28,7.5768668912,"1-2"
0.06,0.66,29,7.585282436,"1-2"
0.06,0.68,29,7.5936996544,"1-2"
0.06,0.7,29,7.602117612,"1-2"
0.06,0.72,30,7.6105650528,"1-2"
0.06,0.74,30,7.6190410376,"1-2"
0.06,0.76,30,7.6275179824,"1-2"
0.06,0.78,31,7.6359931672,"1-2"
0.06,0.8,31,7.644471872,"1-2"
0.06,0.82,31,7.6529488168,"1-2"
0.06,0.84,31,7.6614264016,"1-2"
0.06,0.86,32,7.6699197248,"1-2"
0.06,0.88,32,7.678423704,"1-2"
0.06,0.9,32,7.686928032,"1-2"
0.06,0.92,33,7.6954333472,"1-2"
0.06,0.94,33,7.703945684,"1-2"
0.06,0.96,33,7.7124628608,"1-2"
0.06,0.98,33,7.720985,"1-2"
0.06,1,33,7.72950992,"1-2"
0.08,0,0,7.360024,"1-1"
0.08,0.02,0,7.360026656,"1-1"
0.08,0.04,0,7.360029312,"1-1"
0.08,0.06,0,7.360031968,"1-1"
0.08,0.08,0,7.360034624,"1-1"
0.08,0.1,0,7.3642692,"1-2"
0.08,0.12,0,7.3704423872,"1-2"
0.08,0.14,0,7.3766150384,"1-2"
0.08,0.16,1,7.3827981984,"1-2"
0.08,0.18,5,7.389337312,"1-2"
0.08,0.2,9,7.397128448,"1-2"
0.08,0.22,11,7.404920272,"1-2"
0.08,0.24,13,7.412712944,"1-2"
0.08,0.26,15,7.4205060896,"1-2"
0.08,0.28,16,7.4282998688,"1-2"
0.08,0.3,17,7.436098728,"1-2"
