"belief","Tmax_years","coeffDev_index","coeffDeploy_index"
0.001,0,0.01,2
0.002,0,0.01,2
0.003,0,0.01,2
0.004,0,0.01,2
0.005,0,0.01,2
0.006,0,0.01,2
0.007,0,0.01,2
0.008,0,0.01,2
0.009,0,0.01,2
0.01,0,0.01,2
0.02,0,0.01,2
0.03,0,0.01,2
0.04,0,0.01,2
0.05,0,0.01,2
0.06,0,0.01,2
0.07,0,0.01,2
0.08,0,0.01,2
0.09,0,0.01,2
0.1,0,0.01,2
0.2,0,0.01,2
0.3,1.16217032160117,0.01,2
0.4,5.35570287523783,0.01,2
0.5,9.20406205966866,0.01,2
0.6,13.0524212440995,0.01,2
0.7,17.2459537977361,0.01,2
0.8,22.3616890175898,0.01,2
0.9,30.0584073864515,0.01,2
0.95,37.1503848427588,0.01,2
0.001,0,0.001,2
0.002,0,0.001,2
0.003,0,0.001,2
0.004,0,0.001,2
0.005,0,0.001,2
0.006,0,0.001,2
0.007,0,0.001,2
0.008,0,0.001,2
0.009,0,0.001,2
0.01,0,0.001,2
0.02,0,0.001,2
0.03,1.71475372761846,0.001,2
0.04,4.54356353009962,0.001,2
0.05,6.76085384728261,0.001,2
0.06,8.59174528626317,0.001,2
0.07,10.1563349042503,0.001,2
0.08,11.5263197399122,0.001,2
0.09,12.747954859909,0.001,2
0.1,13.8528313035899,0.001,2
0.2,21.5495496724516,0.001,2
0.3,26.6652848923053,0.001,2
0.4,30.858817445942,0.001,2
0.5,34.7071766303728,0.001,2
0.6,38.5555358148036,0.001,2
0.7,42.7490683684403,0.001,2
0.8,47.864803588294,0.001,2
0.9,55.5615219571556,0.001,2
0.95,62.653499413463,0.001,2
0.001,0,1e-04,2
0.002,0,1e-04,2
0.003,1.75236852940022,1e-04,2
0.004,4.49234738226166,1e-04,2
0.005,6.61978639810863,1e-04,2
0.006,8.35978440543953,1e-04,2
0.007,9.83241598350199,1e-04,2
0.008,11.1093549633923,1e-04,2
0.009,12.2368324426888,1e-04,2
0.01,13.2464146964871,1e-04,2
0.02,19.9215865825856,1e-04,2
0.03,23.8672924827491,1e-04,2
0.04,26.6961022852303,1e-04,2
0.05,28.9133926024133,1e-04,2
0.06,30.7442840413938,1e-04,2
0.07,32.308873659381,1e-04,2
0.08,33.6788584950429,1e-04,2
0.09,34.9004936150397,1e-04,2
0.1,36.0053700587206,1e-04,2
0.2,43.7020884275823,1e-04,2
0.3,48.817823647436,1e-04,2
0.4,53.0113562010726,1e-04,2
0.5,56.8597153855035,1e-04,2
0.6,60.7080745699343,1e-04,2
0.7,64.901607123571,1e-04,2
0.8,70.0173423434246,1e-04,2
0.9,77.7140607122863,1e-04,2
0.95,84.8060381685936,1e-04,2
