"value_noRD","r_deploy","max_invest","max_invest_analytical","costDev_P1_index"
0.001,0.001,0,0,0.001
0.001,0.002,0,0,0.001
0.001,0.003,0,0,0.001
0.001,0.004,6,0,0.001
0.001,0.005,10,3.64641068109979,0.001
0.001,0.006,12,6.30001255912357,0.001
0.001,0.007,15,8.3715055150695,0.001
0.001,0.008,16,10.0708919534433,0.001
0.001,0.009,18,11.5117164589062,0.001
0.001,0.01,19,12.7623678704755,0.001
0.001,0.02,27,20.3937644289799,0.001
0.001,0.03,31,24.568550735991,0.001
0.001,0.04,34,27.4581028978434,0.001
0.001,0.05,36,29.6702019325139,0.001
0.001,0.06,38,31.4629369582191,0.001
0.001,0.07,40,32.9702525622293,0.001
0.001,0.08,41,34.2706718211397,0.001
0.001,0.09,42,35.4141976984027,0.001
0.001,0.1,43,36.4346448076248,0.001
0.001,0.2,50,43.1049290478385,0.001
0.001,0.3,54,46.9835836313705,0.001
0.001,0.4,56,49.7291494395496,0.001
0.001,0.5,58,51.8561097023558,0.001
0.001,0.6,60,53.5925961159707,0.001
0.001,0.7,62,55.0599806856129,0.001
0.001,0.8,63,56.3305851722156,0.001
0.001,0.9,64,57.451000320698,0.001
0.001,0.95,65,57.9652210504348,0.001
0.002,0.001,0,0,0.001
0.002,0.002,0,0,0.001
0.002,0.003,0,0,0.001
0.002,0.004,0,0,0.001
0.002,0.005,6,0,0.001
0.002,0.006,10,3.64641068109979,0.001
0.002,0.007,12,6.30001255912357,0.001
0.002,0.008,15,8.3715055150695,0.001
0.002,0.009,16,10.0708919534433,0.001
0.002,0.01,18,11.5117164589062,0.001
0.002,0.02,26,19.8543453267828,0.001
0.002,0.03,31,24.224628269137,0.001
0.002,0.04,34,27.2056619112631,0.001
0.002,0.05,36,29.470799187015,0.001
0.002,0.06,38,31.2981546667933,0.001
0.002,0.07,39,32.8298473156768,0.001
0.002,0.08,41,34.1483605720357,0.001
0.002,0.09,42,35.3058492434582,0.001
0.002,0.1,43,36.3373978341256,0.001
0.002,0.2,50,43.0568964474452,0.001
0.002,0.3,54,46.9516910557269,0.001
0.002,0.4,56,49.7052781453237,0.001
0.002,0.5,58,51.8370356975822,0.001
0.002,0.6,60,53.5767138807034,0.001
0.002,0.7,62,55.0463751477599,0.001
0.002,0.8,63,56.3186854445021,0.001
0.002,0.9,64,57.4404263205167,0.001
0.002,0.95,65,57.9552049862074,0.001
0.003,0.001,0,0,0.001
0.003,0.002,0,0,0.001
0.003,0.003,0,0,0.001
0.003,0.004,0,0,0.001
0.003,0.005,0,0,0.001
0.003,0.006,6,0,0.001
0.003,0.007,10,3.6464106810998,0.001
0.003,0.008,12,6.30001255912357,0.001
0.003,0.009,15,8.3715055150695,0.001
0.003,0.01,16,10.0708919534433,0.001
0.003,0.02,26,19.2824119877899,0.001
0.003,0.03,30,23.8677733949723,0.001
