"","belief_benef_low","belief_benef_high","max_invest","value_AM_infty"
"1",0,0,0,5.999926
"2",0,0.02,0,5.999935
"3",0,0.04,0,5.999944
"4",0,0.06,0,5.999953
"5",0,0.08,0,5.999962
"6",0,0.1,0,6.005159
"7",0,0.12,0,6.014448
"8",0,0.14,1,6.023737
"9",0,0.16,7,6.03304448
"10",0,0.18,4,6.04239804
"11",0,0.2,7,6.0540944
"12",0,0.22,9,6.06582844
"13",0,0.24,11,6.07756248
"14",0,0.26,13,6.08929652
"15",0,0.28,14,6.10103056
"16",0,0.3,15,6.1127692
"17",0,0.32,16,6.12451248
"18",0,0.34,17,6.13653852
"19",0,0.36,18,6.14897608
"20",0,0.38,19,6.16141364
"21",0,0.4,20,6.1738512
"22",0,0.42,21,6.18628924
"23",0,0.44,21,6.19872832
"24",0,0.46,22,6.21116788
"25",0,0.48,22,6.22360744
"26",0,0.5,23,6.236047
"27",0,0.52,23,6.24848656
"28",0,0.54,24,6.26099648
"29",0,0.56,24,6.27367472
"30",0,0.58,25,6.28635296
"31",0,0.6,25,6.2990312
"32",0,0.62,26,6.31170944
"33",0,0.64,26,6.32438768
"34",0,0.66,26,6.33706592
"35",0,0.68,27,6.34974416
"36",0,0.7,27,6.3624224
"37",0,0.72,28,6.37510064
"38",0,0.74,28,6.38777888
"39",0,0.76,28,6.40046512
"40",0,0.78,28,6.41317236
"41",0,0.8,29,6.4258956
"42",0,0.82,29,6.43871724
"43",0,0.84,29,6.45153888
"44",0,0.86,30,6.46436052
"45",0,0.88,30,6.47718792
"46",0,0.9,30,6.4900266
"47",0,0.92,30,6.50286528
"48",0,0.94,31,6.51570396
"49",0,0.96,31,6.52854264
"50",0,0.98,31,6.54138132
"51",0,1,31,6.55422
"52",0.02,0,0,5.999935
"53",0.02,0.02,0,5.99994274
"54",0.02,0.04,0,5.99995048
"55",0.02,0.06,0,5.99995822
"56",0.02,0.08,0,5.99996596
"57",0.02,0.1,0,6.005196228
"58",0.02,0.12,0,6.0144871776
"59",0.02,0.14,1,6.0237781272
"60",0.02,0.16,7,6.0330871936
"61",0.02,0.18,4,6.0424426528
"62",0.02,0.2,7,6.054153216
"63",0.02,0.22,9,6.0658892936
"64",0.02,0.24,11,6.0776253712
"65",0.02,0.26,13,6.0893614488
"66",0.02,0.28,14,6.1010975264
"67",0.02,0.3,15,6.112838064
"68",0.02,0.32,16,6.1245833616
"69",0.02,0.34,17,6.1366157232
"70",0.02,0.36,18,6.1490551728
"71",0.02,0.38,19,6.1614946224
"72",0.02,0.4,20,6.173934072
"73",0.02,0.42,21,6.1863739008
"74",0.02,0.44,21,6.1988147248
"75",0.02,0.46,22,6.2112561632
"76",0.02,0.48,22,6.2236976016
"77",0.02,0.5,23,6.23613904
"78",0.02,0.52,23,6.2485804784
"79",0.02,0.54,24,6.2610933512
"80",0.02,0.56,24,6.2737733568
"81",0.02,0.58,25,6.2864533624
"82",0.02,0.6,25,6.299133368
"83",0.02,0.62,26,6.3118133736
"84",0.02,0.64,26,6.3244933792
"85",0.02,0.66,26,6.3371733848
"86",0.02,0.68,27,6.3498533904
"87",0.02,0.7,27,6.362533396
"88",0.02,0.72,28,6.3752134016
"89",0.02,0.74,28,6.3878934072
"90",0.02,0.76,28,6.4005820992
"91",0.02,0.78,28,6.4132910976
"92",0.02,0.8,29,6.426016704
"93",0.02,0.82,29,6.4388393408
"94",0.02,0.84,29,6.4516626496
"95",0.02,0.86,30,6.4644859584
"96",0.02,0.88,30,6.4773141696
"97",0.02,0.9,30,6.490154488
"98",0.02,0.92,30,6.5029948064
"99",0.02,0.94,31,6.5158351248
"100",0.02,0.96,31,6.5286754432
"101",0.02,0.98,31,6.5415157616
"102",0.02,1,31,6.55435608
"103",0.04,0,0,5.999944
"104",0.04,0.02,0,5.99995048
"105",0.04,0.04,0,5.99995696
"106",0.04,0.06,0,5.99996344
"107",0.04,0.08,0,5.99996992
"108",0.04,0.1,0,6.005233456
"109",0.04,0.12,0,6.0145263552
"110",0.04,0.14,1,6.0238192544
"111",0.04,0.16,7,6.0331299072
"112",0.04,0.18,4,6.0424876064
"113",0.04,0.2,7,6.054212032
"114",0.04,0.22,9,6.0659501472
"115",0.04,0.24,11,6.0776882624
"116",0.04,0.26,13,6.0894263776
"117",0.04,0.28,14,6.1011644928
"118",0.04,0.3,15,6.112906928
"119",0.04,0.32,16,6.1246542432
"120",0.04,0.34,17,6.1366929264
"121",0.04,0.36,18,6.1491342656
"122",0.04,0.38,19,6.1615756048
"123",0.04,0.4,20,6.174016944
"124",0.04,0.42,21,6.1864585616
"125",0.04,0.44,21,6.1989011296
"126",0.04,0.46,22,6.2113444464
"127",0.04,0.48,22,6.2237877632
"128",0.04,0.5,23,6.23623108
"129",0.04,0.52,23,6.2486743968
"130",0.04,0.54,24,6.2611902224
"131",0.04,0.56,24,6.2738719936
"132",0.04,0.58,25,6.2865537648
"133",0.04,0.6,25,6.299235536
"134",0.04,0.62,26,6.3119173072
"135",0.04,0.64,26,6.3245990784
"136",0.04,0.66,26,6.3372808496
"137",0.04,0.68,27,6.3499626208
"138",0.04,0.7,27,6.362644392
"139",0.04,0.72,28,6.3753261632
"140",0.04,0.74,28,6.3880079344
"141",0.04,0.76,28,6.4006990784
"142",0.04,0.78,28,6.4134098352
"143",0.04,0.8,29,6.426137808
"144",0.04,0.82,29,6.4389614416
"145",0.04,0.84,29,6.4517864192
"146",0.04,0.86,30,6.4646113968
"147",0.04,0.88,30,6.4774404192
"148",0.04,0.9,30,6.490282376
"149",0.04,0.92,30,6.5031243328
"150",0.04,0.94,31,6.5159662896
"151",0.04,0.96,31,6.5288082464
"152",0.04,0.98,31,6.5416502032
"153",0.04,1,31,6.55449216
"154",0.06,0,0,5.999953
"155",0.06,0.02,0,5.99995822
"156",0.06,0.04,0,5.99996344
