"belief_benef_low","belief_benef_high","max_invest","value_AM_infty"
0,0,0,5.999212
0,0.02,0,5.999581
0,0.04,0,5.99977
0,0.06,0,5.999877
0,0.08,0,5.999886
0,0.1,0,6.0050576
0,0.12,0,6.01402888
0,0.14,1,6.02345924
0,0.16,7,6.03298912
0,0.18,4,6.0432658
0,0.2,7,6.0538864
0,0.22,9,6.06556416
0,0.24,11,6.07709656
0,0.26,13,6.08876384
0,0.28,14,6.10033048
0,0.3,15,6.1121484
0,0.32,16,6.12380568
0,0.34,17,6.13553904
0,0.36,18,6.14759728
0,0.38,19,6.16114976
0,0.4,20,6.1731264
0,0.42,20,6.18339824
0,0.44,21,6.19644832
0,0.46,22,6.20867084
0,0.48,22,6.22066344
0,0.5,23,6.233693
0,0.52,23,6.24524568
0,0.54,24,6.25790064
0,0.56,24,6.27029968
0,0.58,25,6.28448956
0,0.6,25,6.2966248
0,0.62,26,6.31006904
0,0.64,26,6.3228712
0,0.66,26,6.33600192
0,0.68,27,6.34824584
0,0.7,27,6.3622874
0,0.72,27,6.37389
0,0.74,28,6.38747108
0,0.76,28,6.40014392
0,0.78,28,6.4123506
0,0.8,29,6.4249676
0,0.82,29,6.43766264
0,0.84,29,6.4487624
0,0.86,30,6.46043072
0,0.88,30,6.47315336
0,0.9,30,6.486252
0,0.92,30,6.50137904
0,0.94,31,6.51397676
0,0.96,31,6.52343824
0,0.98,31,6.53529744
0,1,31,6.549502
0.02,0,0,5.999623
0.02,0.02,0,5.99976874
0.02,0.04,0,5.99987448
0.02,0.06,0,5.99994622
0.02,0.08,0,5.99995396
0.02,0.1,0,6.005832444
0.02,0.12,0,6.0149565664
0.02,0.14,1,6.024024924
0.02,0.16,7,6.0332501312
0.02,0.18,4,6.043127048
0.02,0.2,7,6.055299864
0.02,0.22,10,6.0669633432
0.02,0.24,11,6.0785546384
0.02,0.26,13,6.0900223992
0.02,0.28,14,6.1016650032
0.02,0.3,15,6.11339246
0.02,0.32,16,6.1252692288
0.02,0.34,17,6.1375668136
0.02,0.36,18,6.149727104
0.02,0.38,19,6.162170664
0.02,0.4,20,6.17470832
0.02,0.42,21,6.1870010536
0.02,0.44,21,6.1994619936
0.02,0.46,22,6.2119708568
0.02,0.48,22,6.2241259296
0.02,0.5,23,6.23694868
0.02,0.52,23,6.2494227392
0.02,0.54,24,6.2617382832
0.02,0.56,24,6.274368936
0.02,0.58,25,6.2871353848
0.02,0.6,25,6.299593704
0.02,0.62,26,6.3121499512
0.02,0.64,26,6.3251174416
0.02,0.66,26,6.3378905304
0.02,0.68,27,6.3504164928
0.02,0.7,27,6.363289328
0.02,0.72,28,6.3760132096
0.02,0.74,28,6.3890118744
0.02,0.76,28,6.4017910656
0.02,0.78,28,6.4140830896
0.02,0.8,29,6.42713528
0.02,0.82,29,6.43968798
0.02,0.84,29,6.4529013616
0.02,0.86,30,6.465196904
0.02,0.88,30,6.4777159984
0.02,0.9,30,6.490622616
